Timestamp,Open,High,Low,Close,Volume,period_return,target,fast_close,slow_close,crossover_long,crossover_short,crossover_signal,Cross Entry/Exit,Portfolio Cash,Coin Holdings,Portfolio Holdings,Portfolio Total,Portfolio Returns,Portolio Cumulative Returns,ma_short,ma_long,ma_signal,Entry/Exit,fast_vol,slow_vol,vol_trend_long,vol_trend_short,vol_trend_signal,bollinger_mid_band,bollinger_std,bollinger_upper_band,bollinger_lower_band,bollinger_long,bollinger_signal,rsi,RSI Entry/Exit
2018-12-31,3803.12,3810.0,3630.33,3702.9,29991.77835,,,3702.9,3702.9,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,10000.0,,,,,0,,,,0.0,0.0,,,,,,0.0,,,0.0
2019-01-01,3701.23,3810.16,3642.0,3797.14,23741.687033,0.025450322720030227,,3755.439428201537,3751.6524012329855,1.0,0.0,1.0,1.0,10000.0,0.0,0.0,10000.0,0.0,0.0,,,0,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0
2019-01-02,3796.45,3882.14,3750.45,3858.56,35156.463369,0.016175331960370132,,3797.986867646021,3789.7848829928835,1.0,0.0,1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,,,0,0.0,0.006558408861598222,0.0065584088615982215,0.0,-1.0,-1.0,,,,,0.0,0.0,,0.0
2019-01-03,3857.57,3862.74,3730.0,3766.78,29406.948359,-0.023786075634433468,,3787.3129669775158,3783.4226244990164,1.0,0.0,1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,,,0,0.0,0.026618814913132376,0.02629525415399308,0.0,-1.0,0.0,,,,,0.0,0.0,,0.0
2019-01-04,3767.2,3823.64,3703.57,3792.01,29519.554671,0.006698028554892987,,3788.7275181048644,3785.3860391870744,1.0,0.0,1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,,,0,0.0,0.021218144972051312,0.02132876205128921,1.0,0.0,1.0,,,,,0.0,0.0,,0.0
2019-01-05,3790.09,3840.99,3751.0,3770.96,30490.667751,-0.005551145698455495,,3783.8402785853955,3782.5467153988193,1.0,0.0,1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,,,0,0.0,0.018601733133436885,0.01905999355751183,1.0,0.0,0.0,,,,,0.0,0.0,,0.0
2019-01-06,3771.12,4027.71,3740.0,3987.6,36553.806709,0.05744956191526818,,3836.2814478449964,3818.2668305508287,1.0,0.0,1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3810.85,,0,0.0,0.029480569598121068,0.028294096826557168,0.0,-1.0,-1.0,,,,,0.0,0.0,,0.0
2019-01-07,3987.62,4017.9,3921.53,3975.45,31869.846264,-0.0030469455311465943,0.07360447217046096,3870.358673731122,3842.996223946368,1.0,0.0,1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3849.785714285714,,0,0.0,0.02717641399972692,0.02640689275174874,0.0,-1.0,0.0,,,,,0.0,0.0,,0.0
2019-01-08,3976.76,4069.8,3903.0,3955.13,38901.423122,-0.005111371039756452,0.04160763100649434,3890.345279469294,3859.176031842211,1.0,0.0,1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3872.355714285714,,0,0.0,0.02531600167355841,0.02495002977464544,0.0,-1.0,0.0,,,,,0.0,0.0,,0.0
2019-01-09,3955.45,4006.81,3930.04,3966.65,28989.439511,0.0029126729083495118,0.028013041134516525,3907.820682779606,3873.5704521126027,1.0,0.0,1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3887.797142857143,,0,0.0,0.023119436090866717,0.023251074511319178,1.0,0.0,1.0,,,,,0.0,0.0,,0.0
2019-01-10,3966.06,3996.01,3540.0,3585.88,59402.22851,-0.09599284030605171,-0.04802510366944712,3835.727507434676,3837.457303742338,0.0,-1.0,-1.0,-1.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3861.9542857142856,,0,0.0,0.04441056108941861,0.04088765826063484,0.0,-1.0,-1.0,,,,,0.0,0.0,,0.0
2019-01-11,3585.88,3658.0,3465.0,3601.31,38338.654733,0.004302988387787643,-0.0502899517670049,3784.143285051858,3809.454140476483,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3834.7114285714283,,0,0.0,0.04120396202013974,0.03860133520804888,0.0,-1.0,0.0,,,,,0.0,0.0,,0.0
2019-01-12,3601.31,3618.19,3530.0,3583.13,21999.928354,-0.005048163029564234,-0.04980959755605996,3740.509857947764,3783.9331449649494,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3807.878571428571,,0,0.0,0.03816803906532757,0.036543230670778165,0.0,-1.0,0.0,,,,,0.0,0.0,,0.0
2019-01-13,3584.1,3611.1,3441.3,3476.81,26385.757454,-0.029672381409549753,-0.12809459323904104,3683.879016283639,3750.8175705166345,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3734.9085714285716,,0,0.0,0.036430882131558415,0.035613239205502974,0.0,-1.0,0.0,,,,,0.0,0.0,31.25195734943783,0.0
2019-01-14,3477.56,3671.87,3467.02,3626.09,35235.211215,0.04293590964130911,-0.08787935956935689,3671.5725970183894,3737.8967319681174,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3685.0,,0,0.0,0.03848926277300081,0.03676935625013733,0.0,-1.0,0.0,,,,,0.0,0.0,43.59093702824091,0.0
2019-01-15,3626.08,3648.42,3516.62,3553.06,34137.997459,-0.02014015096150401,-0.10165784689757362,3646.5016729126874,3719.425551928057,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3627.5614285714287,,0,0.0,0.03647364908747789,0.03555873524193745,0.0,-1.0,0.0,,,,,0.0,0.0,39.82511091303513,0.0
2019-01-16,3553.06,3645.0,3543.51,3591.84,27480.179977,0.010914535639702239,-0.09449031298450827,3634.9985448994144,3707.0825134873,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3574.0171428571425,,0,0.0,0.034588288597731304,0.03431463660115047,0.0,-1.0,0.0,,,,,0.0,0.0,42.65799074231866,0.0
2019-01-17,3591.84,3634.7,3530.39,3616.21,29755.440838,0.006784823377433247,0.008458174841322164,3631.0609530972324,3698.5454155054845,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3578.35,,0,0.0,0.03263464356913151,0.03306282124998292,1.0,0.0,1.0,,,,,0.0,0.0,44.42849675663105,0.0
2019-01-18,3613.32,3620.0,3565.75,3594.87,22713.446755,-0.005901205958724787,-0.0017882381688885118,3623.501023507708,3689.061405523669,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3577.4300000000003,,0,0.0,0.030715937636983128,0.03185963149449658,1.0,0.0,0.0,,,,,0.0,0.0,43.17146892037373,0.0
2019-01-19,3594.87,3720.0,3594.23,3665.3,22171.578123,0.0195918072141692,0.022932464074705727,3632.2098525366387,3686.9397651972677,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3589.1685714285713,,0,0.0,0.029789674128783385,0.031211514548077326,1.0,0.0,0.0,3723.3840000000005,159.05239750339823,3882.436397503399,3564.331602496602,-1.0,-1.0,48.36405127820803,0.0
2019-01-20,3665.75,3693.73,3475.0,3539.28,27901.938598,-0.03438190598313917,0.017967619743385566,3612.887517092296,3674.0432029344825,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3598.092857142857,,0,0.0,0.030211657264872738,0.031351831643267936,1.0,0.0,0.0,3715.2030000000004,164.28341224206048,3879.486412242061,3550.91958775794,0.0,1.0,41.123473492959604,0.0
2019-01-21,3539.26,3559.51,3475.5,3526.9,19644.436839,-0.003497886575800746,-0.027354533395475555,3595.0376543768316,3661.4483483883187,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3583.922857142857,,0,0.0,0.028511740745902455,0.03032917580014283,1.0,0.0,0.0,3701.6910000000003,168.25491565197336,3869.945915651974,3533.4360843480267,0.0,0.0,40.48229124708486,0.0
2019-01-22,3526.88,3608.5,3434.85,3570.93,29336.442967,0.012484051149734832,0.005029467557541967,3590.039659996921,3653.84204606292,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3586.4757142857147,,0,0.0,0.027416599246422535,0.029599653010639188,1.0,0.0,0.0,3687.3095000000003,166.42346451700297,3853.7329645170034,3520.886035482997,-1.0,-1.0,43.836270423491804,0.0
2019-01-23,3570.41,3607.98,3514.5,3552.82,24938.842698,-0.005071507982514323,-0.010863512851351897,3582.3311523585435,3645.49553341207,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3580.901428571429,,0,0.0,0.025937390745400014,0.028711646918983515,1.0,0.0,0.0,3676.6115,167.91626084309507,3844.527760843095,3508.695239156905,-1.0,0.0,42.76870450278601,0.0
2019-01-24,3552.97,3589.0,3529.22,3569.62,20826.25118,0.004728638095935045,-0.012883654433785696,3579.700692855453,3639.323262220129,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3574.245714285714,3689.0892,0,0.0,0.02463552776591219,0.027909151317799467,1.0,0.0,0.0,3665.4919999999997,167.23432097383292,3832.7263209738326,3498.257679026167,-1.0,0.0,44.12805181832208,0.0
2019-01-25,3569.07,3587.15,3522.51,3565.29,17608.346671,-0.0012130142704265268,-0.00822839212544546,3576.720440744542,3633.386231197342,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3570.02,3683.5848000000005,0,0.0,0.023320459898285132,0.027112580289886543,1.0,0.0,0.0,3655.2084999999997,166.73031777709969,3821.9388177770993,3488.4781822229,-1.0,0.0,43.8390363056552,0.0
2019-01-26,3566.69,3662.94,3545.0,3565.25,19476.532344,-1.1219283704844152e-05,-0.027296537800452936,3574.3494640383337,3627.9934382646775,0.0,-1.0,-1.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,3555.727142857143,3674.3092000000006,0,0.0,0.02209249083894571,0.026362762881336776,1.0,0.0,0.0,3634.0910000000003,148.12342378108733,3782.2144237810876,3485.967576218913,-1.0,0.0,43.836180057875715,0.0
